     3      2 7.6935920414e-01
     4      2 7.6935920414e-01
     5      2 9.8405414921e-01
     6      2 9.8405414921e-01
     3      3 1.0538298823e+00
     4      3 1.0538298823e+00
     5      3 1.3574459988e+00
     6      3 1.3574459988e+00
     3      4 1.2763628938e+00
     4      4 1.2763628938e+00
     5      4 1.6491725593e+00
     6      4 1.6491725593e+00
     3      5 1.4655855513e+00
     4      5 1.4655855520e+00
     5      5 1.8969677046e+00
     6      5 1.8969677046e+00
     3      6 1.6330748283e+00
     4      6 1.6330748283e+00
     5      6 2.1161192755e+00
     6      6 2.1161192755e+00
