# idx  color   k1 k2 s1 s2    n1 m1 n2 m2
     0      0     1   3  -1   -1     0   0   0    3
     1      0     1   3  -1   -1     0   1   0    2
     2      0     1   3  -1   -1     0   2   0    1
     3      0     1   3  -1   -1     0   3   0    0
     4      0     1   3   1   -1     0  -1   0    2
     5      0     1   3   1   -1     0   0   0    1
     6      0     1   3   1   -1     0   1   0    0
     7      0     1   3   1   -1     0   2   0   -1
     8      0     1   3   1   -1     1   0   0    1
     9      0     1   3   1   -1     1   1   0    0
    10      0     1   3   1   -1     0   0   1    1
    11      0     1   3   1   -1     0   1   1    0
    12      0     1   3  -1    1     0  -1   0    2
    13      0     1   3  -1    1     0   0   0    1
    14      0     1   3  -1    1     0   1   0    0
    15      0     1   3  -1    1     0   2   0   -1
    16      0     1   3  -1    1     1   0   0    1
    17      0     1   3  -1    1     1   1   0    0
    18      0     1   3  -1    1     0   0   1    1
    19      0     1   3  -1    1     0   1   1    0
    20      0     1   3   1    1     0  -2   0    1
    21      0     1   3   1    1     0  -1   0    0
    22      0     1   3   1    1     0   0   0   -1
    23      0     1   3   1    1     0   1   0   -2
    24      0     1   3   1    1     1  -1   0    0
    25      0     1   3   1    1     1   0   0   -1
    26      0     1   3   1    1     0  -1   1    0
    27      0     1   3   1    1     0   0   1   -1
    28      0     2   2  -1   -1     0   0   0    3
    29      0     2   2  -1   -1     0   1   0    2
    30      0     2   2  -1   -1     0   2   0    1
    31      0     2   2  -1   -1     0   3   0    0
    32      0     2   2   1   -1     0  -1   0    2
    33      0     2   2   1   -1     0   0   0    1
    34      0     2   2   1   -1     0   1   0    0
    35      0     2   2   1   -1     0   2   0   -1
    36      0     2   2   1   -1     1   0   0    1
    37      0     2   2   1   -1     1   1   0    0
    38      0     2   2   1   -1     0   0   1    1
    39      0     2   2   1   -1     0   1   1    0
    40      0     2   2  -1    1     0  -1   0    2
    41      0     2   2  -1    1     0   0   0    1
    42      0     2   2  -1    1     0   1   0    0
    43      0     2   2  -1    1     0   2   0   -1
    44      0     2   2  -1    1     1   0   0    1
    45      0     2   2  -1    1     1   1   0    0
    46      0     2   2  -1    1     0   0   1    1
    47      0     2   2  -1    1     0   1   1    0
    48      0     2   2   1    1     0  -2   0    1
    49      0     2   2   1    1     0  -1   0    0
    50      0     2   2   1    1     0   0   0   -1
    51      0     2   2   1    1     0   1   0   -2
    52      0     2   2   1    1     1  -1   0    0
    53      0     2   2   1    1     1   0   0   -1
    54      0     2   2   1    1     0  -1   1    0
    55      0     2   2   1    1     0   0   1   -1
    56      0     3   1  -1   -1     0   0   0    3
    57      0     3   1  -1   -1     0   1   0    2
    58      0     3   1  -1   -1     0   2   0    1
    59      0     3   1  -1   -1     0   3   0    0
    60      0     3   1   1   -1     0  -1   0    2
    61      0     3   1   1   -1     0   0   0    1
    62      0     3   1   1   -1     0   1   0    0
    63      0     3   1   1   -1     0   2   0   -1
    64      0     3   1   1   -1     1   0   0    1
    65      0     3   1   1   -1     1   1   0    0
    66      0     3   1   1   -1     0   0   1    1
    67      0     3   1   1   -1     0   1   1    0
    68      0     3   1  -1    1     0  -1   0    2
    69      0     3   1  -1    1     0   0   0    1
    70      0     3   1  -1    1     0   1   0    0
    71      0     3   1  -1    1     0   2   0   -1
    72      0     3   1  -1    1     1   0   0    1
    73      0     3   1  -1    1     1   1   0    0
    74      0     3   1  -1    1     0   0   1    1
    75      0     3   1  -1    1     0   1   1    0
    76      0     3   1   1    1     0  -2   0    1
    77      0     3   1   1    1     0  -1   0    0
    78      0     3   1   1    1     0   0   0   -1
    79      0     3   1   1    1     0   1   0   -2
    80      0     3   1   1    1     1  -1   0    0
    81      0     3   1   1    1     1   0   0   -1
    82      0     3   1   1    1     0  -1   1    0
    83      0     3   1   1    1     0   0   1   -1
    84      1     1   3  -1   -1     0   0   0    3
    85      1     1   3  -1   -1     0   1   0    2
    86      1     1   3  -1   -1     0   2   0    1
    87      1     1   3  -1   -1     0   3   0    0
    88      1     1   3   1   -1     0  -1   0    2
    89      1     1   3   1   -1     0   0   0    1
    90      1     1   3   1   -1     0   1   0    0
    91      1     1   3   1   -1     0   2   0   -1
    92      1     1   3   1   -1     1   0   0    1
    93      1     1   3   1   -1     1   1   0    0
    94      1     1   3   1   -1     0   0   1    1
    95      1     1   3   1   -1     0   1   1    0
    96      1     1   3  -1    1     0  -1   0    2
    97      1     1   3  -1    1     0   0   0    1
    98      1     1   3  -1    1     0   1   0    0
    99      1     1   3  -1    1     0   2   0   -1
   100      1     1   3  -1    1     1   0   0    1
   101      1     1   3  -1    1     1   1   0    0
   102      1     1   3  -1    1     0   0   1    1
   103      1     1   3  -1    1     0   1   1    0
