     0.50000000      0.50000000     1.0594588148e-01
     0.50000000      1.50000000     2.3489177728e-01
     0.50000000      2.50000000     3.2056633506e-01
     0.50000000      3.50000000     3.8857817994e-01
     0.50000000      4.50000000     4.4659130176e-01
     0.50000000      5.50000000     4.9799188073e-01
     0.50000000      6.50000000     5.4461259220e-01
     0.50000000      7.50000000     5.8757368368e-01
     0.50000000      8.50000000     6.2761786048e-01
     0.50000000      9.50000000     6.6526699413e-01
     0.80000000      0.50000000     1.6951341036e-01
     0.80000000      1.50000000     3.7582684364e-01
     0.80000000      2.50000000     5.1290613609e-01
     0.80000000      3.50000000     6.2172508790e-01
     0.80000000      4.50000000     7.1454608281e-01
     0.80000000      5.50000000     7.9678700918e-01
     0.80000000      6.50000000     8.7138014752e-01
     0.80000000      7.50000000     9.4011789388e-01
     0.80000000      8.50000000     1.0041885768e+00
     0.80000000      9.50000000     1.0644271907e+00
     1.10000000      0.50000000     2.3308093925e-01
     1.10000000      1.50000000     5.1676191001e-01
     1.10000000      2.50000000     7.0524593713e-01
     1.10000000      3.50000000     8.5487199586e-01
     1.10000000      4.50000000     9.8250086387e-01
     1.10000000      5.50000000     1.0955821376e+00
     1.10000000      6.50000000     1.1981477028e+00
     1.10000000      7.50000000     1.2926621041e+00
     1.10000000      8.50000000     1.3807592931e+00
     1.10000000      9.50000000     1.4635873872e+00
     1.40000000      0.50000000     2.9664846813e-01
     1.40000000      1.50000000     6.5769697637e-01
     1.40000000      2.50000000     8.9758573816e-01
     1.40000000      3.50000000     1.0880189038e+00
     1.40000000      4.50000000     1.2504556449e+00
     1.40000000      5.50000000     1.3943772661e+00
     1.40000000      6.50000000     1.5249152582e+00
     1.40000000      7.50000000     1.6452063143e+00
     1.40000000      8.50000000     1.7573300094e+00
     1.40000000      9.50000000     1.8627475836e+00
     1.70000000      0.50000000     3.6021599687e-01
     1.70000000      1.50000000     7.9863204274e-01
     1.70000000      2.50000000     1.0899255392e+00
     1.70000000      3.50000000     1.3211658118e+00
     1.70000000      4.50000000     1.5184104260e+00
     1.70000000      5.50000000     1.6931723945e+00
     1.70000000      6.50000000     1.8516828135e+00
     1.70000000      7.50000000     1.9977505246e+00
     1.70000000      8.50000000     2.1339007257e+00
     1.70000000      9.50000000     2.2619077801e+00
